Set,ATname,com_name,com_names,protein_sequence,gene_family,gene_fam_size,expression_level,GO_functions
754,AT5G61590,AT5G61590,at5g61590,,,,,
755,AT3G57800,AT3G57800,at3g57800,,,,,
756,AT3G27560,atn1,atn1,,,,,
757,AT1G15400,AT1G15400,at1g15400,,,,,
758,AT2G02970,apy6,"apy6,atapy6",,,,,
759,AT1G16380,atchx1,"atchx1, cax1, chx1 ",,,,,
761,AT1G17540,AT1G17540,at1g17540,,,,,
763,AT2G21990,AT2G21990,at2g21990,,,,,
764,AT1G04600,atxia,"atxia,xia",,,,,
765,AT2G15880,AT2G15880,at2g15880,,,,,
766,AT1G54020,AT1G54020,at1g54020,,,,,
767,AT5G57440,gpp2,"gpp2,gs1",,,,,
768,AT1G26650,AT1G26650,at1g26650,,,,,
769,AT4G02880,AT4G02880,at4g02880,,,,,
770,AT1G20540,AT1G20540,at1g20540,,,,,
771,AT1G21380,AT1G21380,at1g21380,,,,,
772,AT4G31360,AT4G31360,at4g31360,,,,,
773,AT1G07750,AT1G07750,at1g07750,,,,,
774,AT3G05010,cand2,cand2,,,,,
775,AT5G16540,zfn3,zfn3,,,,,
776,AT2G20230,AT2G20230,at2g20230,,,,,
777,AT1G51590,manib,"manib,mns1",,,,,
778,AT1G78920,atvhp2,"atvhp2;1,avp2,avpl1,vhp2;1,vp2",,,,,
779,AT5G07620,AT5G07620,at5g07620,,,,,
780,AT5G16800,AT5G16800,at5g16800,,,,,
781,AT3G19290,abf4,"abf4,areb2",,,,,
782,AT1G61240,AT1G61240,at1g61240,,,,,
783,AT3G07540,AT3G07540,at3g07540,,,,,
784,AT1G80440,kfb20,"kfb20,kmd1",,,,,
785,AT1G25270,AT1G25270,at1g25270,,,,,
786,AT1G23560,AT1G23560,at1g23560,,,,,
787,AT1G03440,AT1G03440,at1g03440,,,,,
788,AT1G74430,atmyb95,"atmyb95,atmybcp66,myb95",,,,,
789,AT1G10560,atpub18,"atpub18,pub18",,,,,
790,AT1G05100,mapkkk18,mapkkk18,,,,,
791,AT1G07180,atndi1,"atndi1,nda1",,,,,
792,AT1G72740,AT1G72740,at1g72740,,,,,
793,AT1G17460,trfl3,trfl3,,,,,
794,AT1G49910,bub3.2,bub3.2,,,,,
795,AT1G56690,AT1G56690,at1g56690,,,,,
796,AT2G45920,AT2G45920,at2g45920,,,,,
797,AT2G02780,AT2G02780,at2g02780,,,,,
798,AT3G21175,gata24,"gata24,tify2b,zml1",,,,,
799,AT1G32530,AT1G32530,at1g32530,,,,,
800,AT1G68670,AT1G68670,at1g68670,,,,,
801,AT2G43010,atpif4,"atpif4,pif4,srl2",,,,,
802,AT1G77310,AT1G77310,at1g77310,,,,,
803,AT5G41180,AT5G41180,at5g41180,,,,,
804,AT1G70510,atk1,"atk1,knat2",,,,,
805,AT1G26790,AT1G26790,at1g26790,,,,,
806,AT1G79700,wri4,wri4,,,,,
807,AT5G39430,AT5G39430,AT5G39430,,,,,
808,AT3G58700,AT3G58700,at3g58700,,,,,
809,AT1G04410,c-nad-mdh1,c-nad-mdh1,,,,,
810,AT1G77000,atskp2,skp2a,,,,,
811,AT4G17980,anac071,"anac071,nac071",,,,,
812,AT1G66180,AT1G66180,at1g66180,,,,,
813,AT3G19280,atfut11,"atfut11,fuct1,fucta,fut11",,,,,
814,AT1G12640,atlplat1,"atlplat1,lpcat1,lplat1",,,,,
815,AT1G15330,AT1G15330,at1g15330,,,,,
816,AT1G51710,atubp6,"atubp6,ubp6",,,,,
819,AT4G31920,arr10,"arr10,rr10",,,,,
820,AT2G31650,atx1,"atx1,sdg27",,,,,
821,AT1G50280,AT1G50280,at1g50280,,,,,
823,AT1G51880,rhs6,rhs6,,,,,
825,AT2G47800,abcc4,"abcc4,atmrp4,est3,mrp4",,,,,
826,AT2G02810,atutr1,"atutr1,utr1",,,,,
827,AT1G74160,trm4,trm4,,,,,
828,AT1G76300,smd3,smd3,,,,,
829,AT1G76850,sec5a,sec5a,,,,,
830,AT1G21190,lsm3a,lsm3a,,,,,
836,AT4G24330,AT4G24330,at4g24330,,,,,
839,AT1G04300,AT1G04300,at1g04300,,,,,
841,AT1G17890,ger2,ger2,,,,,
845,AT1G06040,bbx24,"bbx24,sto",,,,,
848,AT3G49670,bam2,bam2,,,,,
849,AT5G66140,pad2,pad2,,,,,
850,AT3G05750,trm6,trm6,,,,,
851,AT2G03340,wrky3,wrky3,,,,,
852,AT3G15690,AT3G15690,at3g15690,,,,,
855,AT5G55120,vtc5,vtc5,,,,,
