,Set,MA,MB,ma,mb,ma2,mb2,mutant_name,protein_similarity,gene_family,gene_fam_size,expression_A,expression_B,expression_ratio,GO_A,GO_B,GO_AB
43,81,AT2G46210,AT3G61580,atsld2,atsld1,"atsld2,sld2","atsld1,sld1",sld2/1,,,,,,,,,
44,84,AT2G25170,AT4G31900,chd3,chr7,"chd3,chr6,ckh2,epp1,gym,pkl,ssl2","chr7,pkr2",chr6/7,,,,,,,,,
45,86,AT1G24150,AT1G70140,atfh4,atfh8,"atfh4,fh4","atfh8,fh8",fh4/8,,,,,,,,,
46,88,AT1G23190,AT1G70730,pgm3,pgm2,pgm3,pgm2,pgm3/2,,,,,,,,,
47,89,AT1G23080,AT1G70940,atpin7,atpin3,"atpin7,pin7","atpin3,pin3",pin7/3,,,,,,,,,
48,94,AT2G25220,AT4G32000,AT2G25220,AT4G32000,at2g25220,at4g32000,AT2G25220/AT4G32000,,,,,,,,,
49,97,AT3G11850,AT5G06560,AT3G11850,AT5G06560,at3g11850,at5g06560,AT3G11850/AT5G06560,,,,,,,,,
50,100,AT5G07660,AT5G61460,smc6a,atrad18,smc6a,"atrad18,mim,smc6b",smc6a/b,,,,,,,,,
51,103,AT1G20910,AT1G76510,AT1G20910,AT1G76510,at1g20910,at1g76510,AT1G20910/AT1G76510,,,,,,,,,
52,105,AT1G14660,AT2G01980,atnhx8,atnhx7,"atnhx8,nhx8","atnhx7,atsos1,sos1",atnhx8/7,,,,,,,,,
53,106,AT1G10050,AT1G58370,AT1G10050,atxyn1,at1g10050,"atxyn1,rxf12",AT1G10050/atxyn1,,,,,,,,,
54,107,AT2G25850,AT4G32850,paps2,npap,paps2,"npap,pap(iv),paps4",paps2/4,,,,,,,,,
55,110,AT5G07830,AT5G61250,atgus2,atgus1,"atgus2,gus2","atgus1,gus1",gus2/1,,,,,,,,,
56,112,AT3G43600,AT5G20960,aao2,aao1,"aao2,ao3,aogamma,atao-2,atao3","aao1,ao1,aoalpha,atao,atao1,at-ao1",aao2/1,,,,,,,,,
57,114,AT1G09550,AT1G57590,AT1G09550,AT1G57590,at1g09550,at1g57590,AT1G09550/AT1G57590,,,,,,,,,
58,115,AT1G12010,AT1G62380,AT1G12010,aco2,at1g12010,"aco2,ataco2",AT1G12010/aco2,,,,,,,,,
59,118,AT1G25460,AT1G68540,AT1G25460,ccrl6,at1g25460,"ccrl6,tkpr2",AT1G25460/ccrl6,,,,,,,,,
60,120,AT1G23880,AT1G70280,AT1G23880,AT1G70280,at1g23880,at1g70280,AT1G23880/AT1G70280,,,,,,,,,
61,121,AT1G23340,AT1G70550,AT1G23340,AT1G70550,at1g23340,at1g70550,AT1G23340/AT1G70550,,,,,,,,,
62,122,AT3G22790,AT4G14760,net1a,net1b,net1a,net1b,net1a/b,,,,,,,,,
63,123,AT4G19970,AT5G44820,AT4G19970,AT5G44820,at4g19970,at5g44820,AT4G19970/AT5G44820,,,,,,,,,
64,125,AT4G18050,AT5G46540,abcb9,abcb7,"abcb9,pgp9","abcb7,pgp7",abcb9/7,,,,,,,,,
65,133,AT1G18620,AT1G74160,trm3,trm4,trm3,trm4,trm3/4,,,,,,,,,
66,134,AT1G19680,AT1G75400,AT1G19680,AT1G75400,at1g19680,at1g75400,AT1G19680/AT1G75400,,,,,,,,,
67,140,AT2G43870,AT3G59850,AT2G43870,AT3G59850,at2g43870,at3g59850,AT2G43870/AT3G59850,,,,,,,,,
68,141,AT2G44450,AT3G60130,bglu15,bglu16,bglu15,bglu16,bglu15/16,,,,,,,,,
69,701,AT2G33320,AT1G04540,AT2G33320,AT1G04540,at2g33320,at1g04540,AT2G33320/AT1G04540,,,,,,,,,
70,702,AT2G02950,AT1G14280,pks1,pks2,pks1,pks2,pks1/2,,,,,,,,,
71,703,AT1G74160,AT1G18620,trm4,trm3,trm4,trm3,trm4/trm3,,,,,,,,,
72,704,AT3G17770,AT1G48430,AT3G17770,AT1G48430,at3g17770,at1g48430,AT3G17770/AT1G48430,,,,,,,,,
73,705,AT3G14020,AT1G54160,nf-ya6,nfya5,nf-ya6,"nfya5,nf-ya5",nf-ya6/5,,,,,,,,,
74,706,AT1G07280,AT2G29670,AT1G07280,AT2G29670,at1g07280,at2g29670,AT1G07280/AT2G29670,,,,,,,,,
75,707,AT1G04500,AT2G33350,AT1G04500,AT2G33350,at1g04500,at2g33350,AT1G04500/AT2G33350,,,,,,,,,
76,708,AT3G52710,AT2G36220,AT3G52710,AT2G36220,AT3G52710,at2g36220,AT3G52710 /AT2G36220,,,,,,,,,
77,709,AT3G55840,AT2G40000,AT3G55840,athspro2,at3g55840,"athspro2,hspro2",AT3G55840/hspro2,,,,,,,,,
78,710,AT5G18180,AT3G03920,AT5G18180,AT3G03920,at5g18180,at3g03920,AT5G18180/AT3G03920,,,,,,,,,
79,711,AT5G04410,AT3G10500,anac078,anac053,"anac078,nac2","anac053,nac053,ntl4",nac2/053,,,,,,,,,
80,712,AT1G52420,AT3G15940,AT1G52420,AT3G15940,at1g52420,at3g15940,AT1G52420/AT3G15940,,,,,,,,,
81,713,AT4G15090,AT3G22170,far1,cpd45,far1,"cpd45,fhy3",far1/cpd45,,,,,,,,,
82,714,AT4G14690,AT3G22840,elip2,elip,elip2,"elip,elip1",elip2/1,,,,,,,,,
83,715,AT2G22660,AT4G37900,AT2G22660,AT4G37900,at2g22660,at4g37900,AT2G22660/AT4G37900,,,,,,,,,
84,716,AT2G42670,AT3G58670,AT2G42670,AT3G58670,at2g42670,at3g58670,AT2G42670/AT3G58670,,,,,,,,,
85,717,AT3G13980,AT1G54200,AT3G13980,AT1G54200,at3g13980,at1g54200,AT3G13980/AT1G54200,,,,,,,,,
86,718,AT1G80000,AT1G15280,AT1G80000,AT1G15280,at1g80000,at1g15280,AT1G80000/AT1G15280,,,,,,,,,
87,719,AT1G54130,AT3G14050,atrsh3,atrsh2,"atrsh3,at-rsh3,rsh3","atrsh2,at-rsh2,rsh2",rsh3/2,,,,,,,,,
88,720,AT3G02490,AT5G15980,AT3G02490,AT5G15980,at3g02490,at5g15980,AT3G02490/AT5G15980,,,,,,,,,
89,721,AT1G21880,AT1G77630,lym1,lym3,"lym1,lyp2","lym3,lyp3",lym1/lym3,,,,,,,,,
90,722,AT1G02370,AT4G01990,AT1G02370,AT4G01990,at1g02370,at4g01990,AT1G02370/AT4G01990,,,,,,,,,
91,723,AT5G45110,AT4G19660,atnpr3,atnpr4,"atnpr3,npr3","atnpr4,npr4",npr3/4,,,,,,,,,
92,724,AT5G48250,AT3G07650,bbx8,bbx7,bbx8,"bbx7,col9",bbx8/7,,,,,,,,,
93,725,AT1G19700,AT1G75410,bel10,blh3,"bel10,blh10",blh3,blh10/3,,,,,,,,,
94,726,AT3G57470,AT2G41790,AT3G57470,AT2G41790,at3g57470,at2g41790,AT3G57470/AT2G41790,,,,,,,,,
95,728,AT5G44670,AT4G20170,gals2,gals3,gals2,gals3,gals2/3,,,,,,,,,
96,729,AT2G30040,AT1G07150,mapkkk14,mapkkk13,mapkkk14,mapkkk13,mapkkk14/13,,,,,,,,,
97,730,AT1G21920,AT1G77660,AT1G21920,AT1G77660,at1g21920,at1g77660,AT1G21920/AT1G77660,,,,,,,,,
98,731,AT3G07340,AT5G48560,AT3G07340,AT5G48560,at3g07340,at5g48560,AT3G07340/AT5G48560,,,,,,,,,
99,732,AT3G11020,AT5G05410,dreb2,dreb2,"dreb2,dreb2b","dreb2,dreb2a",dreb2b/a,,,,,,,,,
100,733,AT3G02990,AT5G16820,athsfa1e,athsf3,"athsfa1e,hsfa1e","athsf3,athsfa1b,hsf3,hsfa1b",hsfa1e/b,,,,,,,,,
101,734,AT1G49780,AT3G19380,pub26,pub25,pub26,pub25,pub26/25,,,,,,,,,
102,735,AT3G06830,AT5G49180,AT3G06830,AT5G49180,at3g06830,at5g49180,AT3G06830/AT5G49180,,,,,,,,,
103,736,AT3G53680,AT2G37520,AT3G53680,AT2G37520,at3g53680,at2g37520,AT3G53680/AT2G37520,,,,,,,,,
104,737,AT1G30500,AT2G34720,nf-ya7,nf-ya4,nf-ya7,nf-ya4,nf-ya7/4,,,,,,,,,
105,738,AT1G33990,AT4G09900,atmes14,atmes12,"atmes14,mes14","atmes12,mes12",mes14/12,,,,,,,,,
106,739,AT5G55090,AT4G26890,mapkkk15,mapkkk16,mapkkk15,mapkkk16,mapkkk15/16,,,,,,,,,
107,740,AT1G21060,AT1G76620,AT1G21060,AT1G76620,at1g21060,at1g76620,AT1G21060/AT1G76620,,,,,,,,,
108,741,AT1G52190,AT3G16180,atnpf1.2,nrt1.12,"atnpf1.2,npf1.2,nrt1.11",nrt1.12,nrt1.11/12,,,,,,,,,
109,742,AT3G03480,AT5G17540,chat,AT5G17540,chat,at5g17540,chat/AT5G17540,,,,,,,,,
110,743,AT3G25250,AT4G13000,agc2,AT4G13000,"agc2,agc2-1,atoxi1,oxi1",at4g13000,agc2/AT4G13000,,,,,,,,,
111,744,AT3G15950,AT1G52410,nai2,attsa1,nai2,"attsa1,tsa1",nai2/tsa1,,,,,,,,,
112,745,AT3G25780,AT1G13280,aoc3,aoc4,aoc3,aoc4,aoc3/4,,,,,,,,,
